,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
117,36298206,36298122,0.005955237702535539,0.00925393917681175,0.005117043065629288,0.8592508513053349,92.852442066879,0.005061933658146569,7.039090964397007,0.995156618235604
116,36298122,36298206,0.00925393917681175,0.005955237702535539,0.005117043065629288,0.5529583637691746,92.85244206687898,0.005061933658146569,2.223606665988936,0.9984700047162747
101,36298381,36298353,0.008463061979085692,0.00970683466610787,0.007192250755389118,0.8498402555910544,87.55070883800406,0.00711010121198911,6.594931079776773,0.9970158549046715
100,36298353,36298381,0.00970683466610787,0.008463061979085692,0.007192250755389118,0.7409470752089137,87.55070883800404,0.00711010121198911,3.8275458145108416,0.9982680710486054
15,31047485,31047464,0.011241271622379798,0.008672610638312254,0.006455450631011849,0.5742633794347564,66.21574556776271,0.006357959459151441,2.328499221057184,0.996095228870841
14,31047464,31047485,0.008672610638312254,0.011241271622379798,0.006455450631011849,0.7443491816056118,66.21574556776271,0.006357959459151441,3.8676141722819715,0.9935142137810997
62,"32078795, 32079103","32079082, 32078935",0.009220141005968756,0.009808229178636852,0.005346870627361647,0.5799120234604106,59.1250482526966,0.005256437371315759,2.3571057162309588,0.9922352434196936
59,"32079082, 32078935","32078795, 32079103",0.009808229178636852,0.009220141005968756,0.005346870627361647,0.5451412818745692,59.125048252696594,0.005256437371315759,2.178214508182332,0.992824545238144
60,"32079082, 32079103","32078795, 32078935",0.012728391139471532,0.007645146244685238,0.005346870627361647,0.42007434944237915,54.946542027813656,0.005249560215640831,1.7111759978216643,0.9944583473853954
61,"32078795, 32078935","32079082, 32079103",0.007645146244685238,0.012728391139471532,0.005346870627361647,0.6993810786914235,54.946542027813656,0.005249560215640831,3.284129969474287,0.9893643275412894
63,"32079103, 32078935","32079082, 32078795",0.01105876149982763,0.00892271710255041,0.005346870627361647,0.4834963325183374,54.18711889679188,0.0052481964269941095,1.9188194494913937,0.9925214880279337
58,"32079082, 32078795","32079103, 32078935",0.00892271710255041,0.01105876149982763,0.005346870627361647,0.5992424242424242,54.18711889679188,0.0052481964269941095,2.4676794609078025,0.9903823309709975
109,"31618300, 34129942",31618405,0.008456302344917094,0.015391687001899457,0.006455450631011849,0.7633892885691446,49.597506009246175,0.006325293872125457,4.161300674191295,0.9881941645055403
112,31618405,"31618300, 34129942",0.015391687001899457,0.008456302344917094,0.006455450631011849,0.4194115063680281,49.597506009246175,0.006325293872125457,1.7078252644180212,0.9951548071856355
73,32079103,"32078795, 32842551",0.018899937135402233,0.005421226603216234,0.005062965992280497,0.26788268955650923,49.413667637058985,0.00496050515028294,1.35849645843547,0.9986368579721598
68,"32078795, 32842551",32079103,0.005421226603216234,0.018899937135402233,0.005062965992280497,0.9339152119700747,49.413667637058985,0.00496050515028294,14.846080196554821,0.9851031515474716
126,"32078935, 32842551",32079103,0.005786246848320569,0.018899937135402233,0.005353630261530246,0.9252336448598131,48.954323934057996,0.005244270559847068,13.122213340813992,0.9852738328272217
127,32079103,"32078935, 32842551",0.018899937135402233,0.005786246848320569,0.005353630261530246,0.2832618025751073,48.954323934057996,0.005244270559847068,1.387136553798451,0.9984433110290035
65,32078795,"32079082, 32079103, 32078935",0.013269161872959435,0.00830759039320792,0.005346870627361647,0.40295466123280693,48.50439684198353,0.005236635865659928,1.6610001706980657,0.9925536676196964
56,"32079082, 32079103, 32078935",32078795,0.00830759039320792,0.013269161872959435,0.005346870627361647,0.6436126932465419,48.50439684198353,0.005236635865659928,2.76870365310076,0.9875877871494232
130,"32079082, 32842551",32079103,0.007685704049696831,0.018899937135402233,0.006982702096162556,0.9085312225153913,48.07059494465645,0.006837442772781979,10.726065110356219,0.9867813714189247
135,32079103,"32079082, 32842551",0.018899937135402233,0.007685704049696831,0.006982702096162556,0.36945636623748207,48.07059494465645,0.006837442772781979,1.573744056424871,0.9980605433633375
54,"32079082, 32078795, 32078935",32079103,0.005928199165861144,0.018899937135402233,0.005346870627361647,0.9019384264538198,47.72176859595806,0.005234828035800727,10.004939013165723,0.9848837897033865
67,32079103,"32079082, 32078795, 32078935",0.018899937135402233,0.005928199165861144,0.005346870627361647,0.28290414878397707,47.72176859595805,0.005234828035800727,1.3862467606644648,0.9979055546935741
64,32079082,"32078795, 32079103, 32078935",0.01801442505931579,0.006266180874291084,0.005346870627361647,0.2968105065666041,47.367050604038525,0.005233988981593612,1.413180697956251,0.9968458835560499
57,"32078795, 32079103, 32078935",32079082,0.006266180874291084,0.01801442505931579,0.005346870627361647,0.8532901833872707,47.367050604038525,0.005233988981593612,6.693386970367748,0.9850608475338717
38,"32078795, 32079103",32079082,0.009220141005968756,0.01801442505931579,0.007827656367237406,0.8489736070381233,47.12743283467124,0.007661560828049058,6.502079243782012,0.98788941599974
39,32079082,"32078795, 32079103",0.01801442505931579,0.009220141005968756,0.007827656367237406,0.4345215759849907,47.12743283467124,0.007661560828049058,1.7521090406231545,0.9967365725764765
41,32079103,"32079082, 32078795",0.018899937135402233,0.00892271710255041,0.007827656367237406,0.4141630901287554,46.41670080634674,0.007659017574922225,1.6917289883890532,0.9973050326298747
36,"32079082, 32078795",32079103,0.00892271710255041,0.018899937135402233,0.007827656367237406,0.8772727272727274,46.41670080634673,0.007659017574922225,7.9941486603782135,0.9872651175575319
40,32078795,"32079082, 32079103",0.013269161872959435,0.012728391139471532,0.007827656367237406,0.5899133978604177,46.34626571390155,0.007658761284825416,2.40747101638909,0.9915807338629141
